epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.1164,1.87743,2.04667,1.6458,0.70313,0.38774,0.44804,0.23229,1.849,1.78298,1.56647,0.0670747,0.000332579,0.000332579
2,178.815,1.58637,1.11413,1.45255,0.74105,0.55547,0.63503,0.31136,1.93353,1.29476,1.57413,0.0340087,0.000599987,0.000599987
3,266.592,1.44636,0.9275,1.36513,0.78789,0.66238,0.72985,0.39432,1.6482,0.96607,1.37838,0.00087681,0.000801395,0.000801395
4,353.988,1.3655,0.83555,1.31986,0.78783,0.72773,0.79559,0.43277,1.69075,1.02197,1.37819,0.000703,0.000703,0.000703
5,441.257,1.26589,0.72417,1.25969,0.85844,0.74539,0.85864,0.50005,1.41681,0.81953,1.26229,0.000604,0.000604,0.000604
6,528.726,1.18467,0.64655,1.20555,0.81608,0.74779,0.83088,0.54081,1.26977,0.75598,1.20372,0.000505,0.000505,0.000505
7,615.829,1.1081,0.5875,1.16779,0.85784,0.87866,0.91436,0.57928,1.27981,0.62192,1.20368,0.000406,0.000406,0.000406
8,703.16,1.03541,0.53926,1.12898,0.93024,0.82988,0.90938,0.61818,1.12103,0.56795,1.14865,0.000307,0.000307,0.000307
9,790.26,0.97238,0.49979,1.09262,0.90277,0.92398,0.94724,0.64661,1.07904,0.52096,1.10228,0.000208,0.000208,0.000208
10,877.084,0.91182,0.46281,1.06418,0.92264,0.93205,0.95577,0.69799,0.95509,0.48857,1.05823,0.000109,0.000109,0.000109
1,117.404,1.90905,2.41386,1.51772,0.55895,0.37898,0.36079,0.18211,1.97634,2.41121,1.5534,0.0671493,0.000331825,0.000331825
2,226.331,1.63746,1.30662,1.37884,0.77038,0.58214,0.65158,0.29534,2.12744,1.42343,1.62556,0.0341164,0.000632233,0.000632233
3,335.933,1.54985,1.15555,1.34422,0.81592,0.54263,0.63406,0.29729,1.96182,1.22192,1.58345,0.00105047,0.000899641,0.000899641
4,445.187,1.4699,1.02143,1.29938,0.78892,0.68065,0.75998,0.42455,1.59303,1.03174,1.34725,0.0008515,0.0008515,0.0008515
5,556.145,1.39861,0.92739,1.26141,0.80438,0.71953,0.80885,0.46297,1.51614,0.79568,1.28667,0.000802,0.000802,0.000802
6,666.821,1.34291,0.85987,1.23542,0.90766,0.74989,0.86407,0.53021,1.30503,0.71265,1.20022,0.0007525,0.0007525,0.0007525
7,779.784,1.29287,0.80637,1.20384,0.83335,0.8168,0.89227,0.5501,1.35666,0.72851,1.22021,0.000703,0.000703,0.000703
8,892.187,1.2572,0.77043,1.1893,0.87943,0.8609,0.91074,0.58632,1.28431,0.62637,1.18094,0.0006535,0.0006535,0.0006535
9,1004.21,1.23141,0.73808,1.17101,0.85808,0.8725,0.89642,0.62282,1.14113,0.61991,1.11712,0.000604,0.000604,0.000604
10,1116.72,1.18942,0.70579,1.15269,0.91243,0.84298,0.9076,0.62763,1.12626,0.57399,1.10835,0.0005545,0.0005545,0.0005545
11,1207.33,1.03894,0.55526,1.10561,0.89654,0.91583,0.93189,0.61206,1.16364,0.55631,1.12211,0.000505,0.000505,0.000505
12,1292.81,0.99934,0.51711,1.08731,0.90912,0.89189,0.92948,0.63033,1.07997,0.54748,1.09892,0.0004555,0.0004555,0.0004555
13,1378.58,0.95986,0.48945,1.06685,0.9097,0.88419,0.93797,0.6618,1.03976,0.56292,1.07318,0.000406,0.000406,0.000406
14,1464,0.93342,0.47131,1.05108,0.92372,0.93594,0.95924,0.68642,1.0427,0.50034,1.07798,0.0003565,0.0003565,0.0003565
15,1549.45,0.88883,0.44789,1.03167,0.93533,0.9224,0.94991,0.67271,1.03696,0.47507,1.08012,0.000307,0.000307,0.000307
16,1633.87,0.85709,0.43083,1.01478,0.94548,0.92662,0.96469,0.71235,0.98334,0.44959,1.04723,0.0002575,0.0002575,0.0002575
17,1719.15,0.8262,0.4106,1.00152,0.95449,0.92848,0.96167,0.71709,0.97978,0.44404,1.05425,0.000208,0.000208,0.000208
18,1803.47,0.79816,0.39714,0.98747,0.95268,0.94074,0.97009,0.73536,0.91765,0.41942,1.03013,0.0001585,0.0001585,0.0001585
19,1888.85,0.77226,0.38414,0.97535,0.94865,0.94193,0.96825,0.74739,0.90643,0.41881,1.02798,0.000109,0.000109,0.000109
20,1974.31,0.73949,0.36967,0.96125,0.95471,0.9479,0.97336,0.74494,0.89135,0.40558,1.01939,5.95e-05,5.95e-05,5.95e-05
1,113.233,1.90905,2.41386,1.51772,0.55895,0.37898,0.36079,0.18211,1.97634,2.41121,1.5534,0.0671493,0.000331825,0.000331825
2,222.471,1.63824,1.30947,1.37653,0.79135,0.53239,0.59531,0.3325,1.7969,1.4592,1.48858,0.0341362,0.000651988,0.000651988
3,333.062,1.56149,1.16525,1.34822,0.71802,0.45696,0.56916,0.28164,1.80422,1.59415,1.46508,0.00110978,0.000958951,0.000958951
4,442.909,1.4876,1.0422,1.31101,0.84964,0.63349,0.79561,0.41165,1.68934,0.90978,1.39378,0.0009406,0.0009406,0.0009406
5,555.68,1.42226,0.94793,1.27832,0.73157,0.7374,0.79921,0.46103,1.4568,1.52562,1.27498,0.0009208,0.0009208,0.0009208
6,667.445,1.37367,0.88632,1.25343,0.8317,0.75965,0.85193,0.52535,1.34642,0.76185,1.22762,0.000901,0.000901,0.000901
7,778.891,1.33017,0.828,1.22588,0.81557,0.72493,0.83387,0.52075,1.3643,1.08213,1.2285,0.0008812,0.0008812,0.0008812
8,889.655,1.29262,0.80365,1.21055,0.80585,0.8687,0.90866,0.51722,1.44542,0.72234,1.23878,0.0008614,0.0008614,0.0008614
9,1000.5,1.27028,0.77117,1.19537,0.90848,0.83174,0.90268,0.58247,1.26311,0.64881,1.20166,0.0008416,0.0008416,0.0008416
10,1112.42,1.23842,0.74096,1.18209,0.82429,0.89343,0.92307,0.61342,1.15752,0.66068,1.13368,0.0008218,0.0008218,0.0008218
11,1224.52,1.22332,0.72437,1.17193,0.90984,0.88722,0.93895,0.63955,1.17843,0.59297,1.14287,0.000802,0.000802,0.000802
12,1336,1.20766,0.71519,1.16883,0.8482,0.8959,0.92021,0.60532,1.2315,0.57899,1.15994,0.0007822,0.0007822,0.0007822
13,1448.51,1.19334,0.69361,1.1609,0.88133,0.88393,0.92648,0.62806,1.13927,0.56582,1.12219,0.0007624,0.0007624,0.0007624
14,1562.34,1.17788,0.68296,1.15647,0.851,0.88064,0.92807,0.62215,1.11468,0.56628,1.10357,0.0007426,0.0007426,0.0007426
1,113.843,1.90905,2.41386,1.51772,0.55895,0.37898,0.36079,0.18211,1.97634,2.41121,1.5534,0.0671493,0.000331825,0.000331825
2,222.537,1.63824,1.30947,1.37653,0.79135,0.53239,0.59531,0.3325,1.7969,1.4592,1.48858,0.0341362,0.000651988,0.000651988
3,331.272,1.56149,1.16525,1.34822,0.71802,0.45696,0.56916,0.28164,1.80422,1.59415,1.46508,0.00110978,0.000958951,0.000958951
4,439.786,1.4876,1.0422,1.31101,0.84964,0.63349,0.79561,0.41165,1.68934,0.90978,1.39378,0.0009406,0.0009406,0.0009406
5,550.24,1.42226,0.94793,1.27832,0.73157,0.7374,0.79921,0.46103,1.4568,1.52562,1.27498,0.0009208,0.0009208,0.0009208
